Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
High,Natalie DeBaker,Marketing Coordinator Kwikly Dental Staffing,Kwikly Dental Staffing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381854357,https://www.linkedin.com/sales/lead/ACwAADJa9JQBo7z-ZGuLGoZGCHOAFM2CjA0I92A
High,Atanas Atanasov,Head of Technology Kwikly Dental Staffing,Kwikly Dental Staffing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381854357,https://www.linkedin.com/sales/lead/ACwAAAC_Ty0BFqtT2dwmW90bBllGp4pTv_p-Ncg
High,Jim C.,"Chief Executive Officer Centra Funding, LLC","Centra Funding, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4386876622,https://www.linkedin.com/sales/lead/ACwAADHi0kQB-W2nAo7arSJLoLYu2rSImgqvzSU
High,Joshua Santa Cruz,"Marketing Director Centra Funding, LLC","Centra Funding, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4386876622,https://www.linkedin.com/sales/lead/ACwAABNmO_oBnS9uoksVg6huixZqUxK3Brc1BEA
High,Chelsea Byington,"Vice President- Equipment Financing Sales Centra Funding, LLC","Centra Funding, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4386876622,https://www.linkedin.com/sales/lead/ACwAAEYQklcB5a5azp8EaWX90ZU-D0J2C6B0T1c
High,Almira Cabanit,"Senior Accountant Centra Funding, LLC","Centra Funding, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4386876622,https://www.linkedin.com/sales/lead/ACwAAFxElUcBqnvscB3lIo482sUrdVtcTbLrC2E
High,Stacy Bechtol,"Paralegal Manager Centra Funding, LLC","Centra Funding, LLC",Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4386876622,https://www.linkedin.com/sales/lead/ACwAAFXjg4QBKO7XyBlf7K43tkkxjd3blrynWok
High,Ada Liu,Co-Founder & CEO Blueberry AI,Blueberry AI,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389570191,https://www.linkedin.com/sales/lead/ACwAABSBoVwBP1LSAHWd3af5FfKV_-2DJkUMTU0
High,Fengfeng Yuan,CTO Blueberry AI,Blueberry AI,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389570191,https://www.linkedin.com/sales/lead/ACwAACL5KAUBZNwcObeHPJlTsIicj9_DO3E1IUM
High,Ethan Zhang,Chief Technology Officer Lumo,Blueberry AI,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389570191,https://www.linkedin.com/sales/lead/ACwAAEI5D88Br7dnag3am82gWxg0JRGL0KsLdmk
High,李斌,COO Blueberry AI,Blueberry AI,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389570191,https://www.linkedin.com/sales/lead/ACwAAFOdHT4BzARfKIsTw4_SXEOMf2_19jN7y9s
High,Hong Li,Senior AI Engineer Blueberry AI,Blueberry AI,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4389570191,https://www.linkedin.com/sales/lead/ACwAAEo2c9QBoEuer-b-Xx_tlb09FNmaA0-7Ci8
High,Thomas Bueler-Faudree,Co-Founder August,August,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383025234,https://www.linkedin.com/sales/lead/ACwAABPtWJcBHEG2flGb1r9lvA8b14McLcWWo7M
High,Rutvik Rau,CEO & Co-Founder August,August,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383025234,https://www.linkedin.com/sales/lead/ACwAADGt1xUBWypKse4R6C00CK8GqChaMCj5cvY
High,Joseph Parker,Co-Founder August,August,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383025234,https://www.linkedin.com/sales/lead/ACwAADZ8W2MB8K0XSWGfE3jcz1Mcaa_8PENhzjo
High,Zaker C.,Chief Vibes Officer August,August,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383025234,https://www.linkedin.com/sales/lead/ACwAAEF4Z0MBxqCB_BGVSDx30ygH90t9TcSwu2c
High,Julia Candiotti,"Head of AI Adoption, Partnerships August",August,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383025234,https://www.linkedin.com/sales/lead/ACwAADXO5rABUM-Ijj3O4amrh9Xi_rOFrkwb8-k
High,Bruce Orr,Chief Executive Officer ProNovos Construction Analytics,ProNovos Construction Intelligence,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4364226047,https://www.linkedin.com/sales/lead/ACwAAADpfnMBqZiAXn7HZFWHqPGrvl67-1Y1cVc
High,Samantha Lake,Chief Operating Officer ProNovos Construction Intelligence,ProNovos Construction Intelligence,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4364226047,https://www.linkedin.com/sales/lead/ACwAAAHyt_oBKOAUJfxXw_6RM57fnNnHTiWFABo
High,Amy Groth,Growth Coordinator ProNovos Construction Intelligence,ProNovos Construction Intelligence,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4364226047,https://www.linkedin.com/sales/lead/ACwAABnj__0Bi3L3kJqwF7lP3Cc_RTFFvhCqaIE
High,Lou S.,Senior BDR ProNovos Construction Intelligence,ProNovos Construction Intelligence,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4364226047,https://www.linkedin.com/sales/lead/ACwAACdlm9wBJNtnnuCscodHQxPAuXpeKmkxL_Y
High,John O'Bryan,Marketing Content Manager ProNovos Construction Intelligence,ProNovos Construction Intelligence,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4364226047,https://www.linkedin.com/sales/lead/ACwAAA3Y24wB9p9bEUnAgNLBF6KH9Bs0tiqA1yQ
High,Coco Hailey,Founder & Recruiter Amulet,Amulet,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385540235,https://www.linkedin.com/sales/lead/ACwAACgb2ecB0raY7U4Wx1QXD2IYgR2Qt_86E_4
High,Claribel Fidel,Head of Recruiting and People Operations Amulet,Amulet,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385540235,https://www.linkedin.com/sales/lead/ACwAAFmQb6UBJ2m39cEXK6phPg7hSKcSTcTh31s
High,Mona Mona,Project Manager Amulet,Amulet,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385540235,https://www.linkedin.com/sales/lead/ACwAAFgtnYMB3DTlIjsqd7utlsAuQvYeGqKwAkw
High,AKASH KUMAR SINHA,Sales Manager Amulet,Amulet,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385540235,https://www.linkedin.com/sales/lead/ACwAAGO3ZYsBslhsqTsWFv4qkeAyj7Oj6eCWsbE
High,Rufus Hailey,GTM Recruiting Amulet,Amulet,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385540235,https://www.linkedin.com/sales/lead/ACwAAD7Agv0Bk_Baq7RN28z21eX91Wv61Zn3zVM
High,Michael K. Matus,CEO Tower Marketing,Tower Marketing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4377883605,https://www.linkedin.com/sales/lead/ACwAAAYbVuEBQOHXod1oThQlLAsrp48xyKEM2kk
High,Marisa Harris Sechrist,Operations Coordinator Tower Marketing,Tower Marketing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4377883605,https://www.linkedin.com/sales/lead/ACwAACW7axYBuUvziERg9lp8qq8A9WB1kNORWcU
High,Grace H.,Sr. Content Marketing Team Lead Tower Marketing,Tower Marketing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4377883605,https://www.linkedin.com/sales/lead/ACwAABivoRMB1VS4aGE8naFEUTnYeJd5bOaMgF4
High,Danae Jones,Senior Email Marketing Specialist Tower Marketing,Tower Marketing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4377883605,https://www.linkedin.com/sales/lead/ACwAABCJ-DABpY_9C45u_QVshQRQF-MPt7DiTkM
High,Kelly Howard,Senior Account Executive Tower Marketing,Tower Marketing,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4377883605,https://www.linkedin.com/sales/lead/ACwAABT5CdoBCZK0s5epM8eAXIPJoP0o14xicoc
High,Hesom Parhizkar,Co-founder & Chief Product Officer (CPO) AdvizorPro,AdvizorPro,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4358382095,https://www.linkedin.com/sales/lead/ACwAAACiFJ4BjOIwTEaJBbF0eSwsgAZt1IKXu2Y
High,Michael Magnan,Founder & CEO AdvizorPro,AdvizorPro,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4358382095,https://www.linkedin.com/sales/lead/ACwAAASRBJYBBjA1C_R-eLHvuCYHImP0x-O3n9U
High,Dustin Echenique,Chief Revenue Officer (CRO) AdvizorPro,AdvizorPro,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4358382095,https://www.linkedin.com/sales/lead/ACwAAAKwdCMBAy0Ywx_rnmzkXa2ECGmCDh03onE
High,Brandon S.,Chief Technology Officer AdvizorPro,AdvizorPro,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4358382095,https://www.linkedin.com/sales/lead/ACwAAAce628BhQQ53sljn-N2pwecaSZq-Cg_2n4
High,Kendall Holekamp,Senior Business Development AdvizorPro,AdvizorPro,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4358382095,https://www.linkedin.com/sales/lead/ACwAADmfILEBFkcNq8pQapL2zvBCrihODzXRZKk
High,JOHN ASHFIELD,Managing Director Streamline Office Solutions,Streamline Office Solutions,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381038767,https://www.linkedin.com/sales/lead/ACwAAFEIEfYBamqUYFWO1Q8l2DI60S2FCLHYcF8
High,Berno Pioli,Owner Streamline Office Solutions,Streamline Office Solutions,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381038767,https://www.linkedin.com/sales/lead/ACwAAABtPLsBE4uyn3OfB60ZMEKTTD72JpMzixg
High,Trevor Parker,Owner Convaiy,Streamline Office Solutions,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381038767,https://www.linkedin.com/sales/lead/ACwAABHgMvgBMRlmWZtf8Vq1FvaIEhl129nYemE
High,Laura Tomaso,"president streamline office solutions, llc",Streamline Office Solutions,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381038767,https://www.linkedin.com/sales/lead/ACwAAAGyEU8B4OhMRziTTWi0W3gaT05HdTUewGc
High,Garrett Peterson,President Streamline Office solutions,Streamline Office Solutions,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4381038767,https://www.linkedin.com/sales/lead/ACwAADwmCkoBICwvQSeq2zcg0r4GfXSu6lyZDbk
High,Robert Preville,"Founder, CEO APPROVE",APPROVE,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4327767312,https://www.linkedin.com/sales/lead/ACwAAACEvIABThzQHC-cB15JowrpRjT_FwoJqnE
High,DeAundre Perry,Ceo RUSH APPROVE LLC,APPROVE,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4327767312,https://www.linkedin.com/sales/lead/ACwAACxNyrwBa5WRks4czmsF5NCqMlHagmTdX1E
High,Miguel Solis,CEO Approve Print,APPROVE,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4327767312,https://www.linkedin.com/sales/lead/ACwAABqDHI4BqCDgwPWwv6H9qm5a8Maanyy-3zo
High,Robin Salter,Chief Marketing Officer APPROVE,APPROVE,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4327767312,https://www.linkedin.com/sales/lead/ACwAAABkdC0BBEcZugmSUBZnesGS0LVZ6fRh26U
High,Jonathan Weaver,"Finance Coordinator, APPROVE APPROVE",APPROVE,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4327767312,https://www.linkedin.com/sales/lead/ACwAADpON2QBhJMkr6bY6Uw7hk35_OUNSiE3xbg
High,"Laura Capes Terry, MBA",Founder & Publisher of BeLocal Georgetown The N2 Company,The N2 Company,Senior Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAEqp6IBcZFa0Um370aay9voJ6QiXK0lV38
High,JP Hamel,Chief Executive Officer The N2 Company,The N2 Company,Senior Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAABcZ0MBqpeIVAuJXCCtHVIVMaXY7js_A6s
High,Stephanie Davis Smith,Chief Marketing Officer The N2 Company,The N2 Company,Senior Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAakn34BBdykCJS0Dr00WQQ3z5eawtPoNK8
High,Robert Zeman,Marketing and Publishing Area Director | Owner The N2 Company,The N2 Company,Senior Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAANEYW0BgsGrbSK3OsiG3RyKSnQMQDoCHRM
High,Charlie Fischer,Chief Technology Officer The N2 Company,The N2 Company,Senior Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAGid08BomrKpS_EXhmIB5tMAlVRKv0T5IE
High,Dennis Arriola,Member Board of Directors CMC,CMC,Heavy Equipment Sales and Rental,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAsBlJsBZDK-VtCDi2TCxujvvXqvZdlSojs
High,Joe Gentile,Vice President & Chief Information Officer CMC,CMC,Heavy Equipment Sales and Rental,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAEmVB4BH3EPkPPfWfsun3PuIzAE3Axqw0k
High,Eric Puleo,Chief Information Security Officer and Sr. Director CMC,CMC,Heavy Equipment Sales and Rental,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAACFCZoB2PJueL3ZIWrzAuTNYrVO8cRbDzg
High,Lisa Barton,"Member, Board of Directors Commercial Metals Company",CMC,Heavy Equipment Sales and Rental,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAHEMPcBuQemjhE9jjtddTQCKzE3dLdMWEM
High,Stacy Singer,President EKO North America Inc.,CMC,Heavy Equipment Sales and Rental,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAPkZVMBkCSKfjydKPyoh4cMJmIo91pAWNg
High,Matthew Hart,Founder Soter,Soter,Senior Enterprise Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAV1bWoBEHTWQQAAd4QAV14q3AndzkvsK9w
High,Alexey Pavlenko,Co-founder & CTO Soter Analytics,Soter,Senior Enterprise Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAWX_GgB5ovb__OyZfMd_VBeDjk6tDTmjjE
High,Gareth Buchanan-Robinson,COO Soter,Soter,Senior Enterprise Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAACLb2hsB4N96olHCu27criw0_74PDj4S7LU
High,Piotr Leszczyński,Head of Engineering Soter Analytics,Soter,Senior Enterprise Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAACns_QBiV1eV7ew-fTbkaFd2uVze51aTHA
High,Heather Faust,Head of Insurance Sales Soter Analytics,Soter,Senior Enterprise Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAEfDkkYBTCHGlgFvtaHSBwL-qTKRo-TjGrI
High,Kory T.,Plant Manager Northern Engraving,Northern Engraving,Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAADAKAtEB40KKC0K3Umi1xQhaG5FV_nt2tw4
High,Bob Meyer,Name Plate Tool Engineering Manager Northern Engraving,Northern Engraving,Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAA3evP4BRvxWh9tbQ2dzLJkqPD2Y0dqkQd0
High,Billie Theobald,Key Account Manager - Luxe Packaging  Global Northern Engraving Corporation,Northern Engraving,Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAALELOIB8EqPSUCDGSOqBH6KAm-xOZi0uVE
High,Daniel Lindberg,Corporate Quality Control Manager Northern Engraving Corp.,Northern Engraving,Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAANjNREB6vFp4E4v-_xbGDtQexFm1F6jwZI
High,Dan M.,R&D Manager Northern Engraving Corporation,Northern Engraving,Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAJlXHgBOOXzaK8CKZPoOtkV1g-bv4D8D_g
High,Jemma Marais,Founder & CEO  BluePeak Creatives,Bluepeak,Business Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAD1T8uQBJWUNqxEW6C4DkZ3GGC-nrZ127iI
High,Rich Fish,Chief Executive Officer Bluepeak,Bluepeak,Business Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAX3zIIB_1YCP3wkaixqbNUQF5u5NK5gt6w
High,Lana Frank,Chief Commercial Officer Bluepeak,Bluepeak,Business Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAAtYgkB2rHRjJiF491HWsqzAtA4x9dA-60
High,Stefan Goldstein,"Director, Field Sales Bluepeak",Bluepeak,Business Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAACiHnYBT0X9AEMAhTAtyiJXR-d12ihJIu4
High,Cash Hagen,Chief Operating Officer Bluepeak,Bluepeak,Business Account Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAHQqAcB6OnXdhs1IYavHhMkqBI8_HfirHE
High,Todd Tupper,"Director Computing Services and Security Colony Brands, Inc.",Colony Brands,Business Development Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAADxb64BSdGK7hru5hP9XZX8dF73bO1gJVU
High,Katie Hampton,"Sr Employment Coordinator Colony Brands, Inc.",Colony Brands,Business Development Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAABAe530BCRXlnzch5PKWXGMWsLFnKz89Vn0
High,Quinton Barkley,"Director Logistics & Trade Compliance Colony Brands, Inc.",Colony Brands,Business Development Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAACOD6oBhwDqVRJvskgWgPOdTbpycqOhocc
High,Ilse Mendez,"Employment Coordinator  Colony Brands, Inc.",Colony Brands,Business Development Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAC7yUngBpE1Mt8bQ6wyTW-qwzZUwJqIcb7o
High,Cary McNatt,"Director Colony Brands, Inc.",Colony Brands,Business Development Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAFJv8oBbzuHt4ihT9NQDHHMG98MPAAG1qs
High,Craig Smiddy,Chief Executive Officer Old Republic International,Old Republic International,Sales Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAbFaA8B_JXk3-zLEUWKmY_3EErl2e7YvXo
High,Christopher Buse,Chief Information Security Officer Old Republic International,Old Republic International,Sales Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAADSHGwBX-2gyMhQ_LHhs3iD1awekVq1Tjk
High,Steve Buckland,Chief Information Officer Old Republic International,Old Republic International,Sales Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAKy-0kBUkzk26Si37ZWP2RINRtgpvTDoAg
High,"Kivin Jones, SPHR",Chief Human Resources Officer Old Republic International,Old Republic International,Sales Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAAojVQBMg_cxuifpWeLb3rcgZ_J8jrIQu4
High,"Nikki (Anderson) Reinger, CPA, MBA","Vice President & Chief Accounting Officer, Financial Operations Old Republic International",Old Republic International,Sales Executive,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAKZdRsB0ZohBtLss2BfDbzhrrT3EwgyCgo
High,Ray Aschenbach,Chief Executive Officer Kofile,Kofile,Account Executive – Commercial & Bindery Services,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAADzeMYBsGjX1hXZuEU7d_zHF64D_Bff7kU
High,Rene Grajales,Chief Market & Strategy Officer Kofile,Kofile,Account Executive – Commercial & Bindery Services,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAABWPM0BHdHRY_9FcZGgJjmGsMtOQK9yIzU
High,Steven Coleman,"CTO & SVP, Digital Operations Kofile",Kofile,Account Executive – Commercial & Bindery Services,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAC1Bz0BV1rnPmYMwTvfV0_Y5tKL3lK-R7A
High,Lucas Sutterer,Chief Operating Officer Kofile,Kofile,Account Executive – Commercial & Bindery Services,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAAO9DsBC4FEPv6HCTEJMalfUjTkoCz4RUg
High,"Sharon Slonaker, SPHR, SHRM-SCP","SVP/Chief Human Resources Officer Kofile Technologies, Inc.",Kofile,Account Executive – Commercial & Bindery Services,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAJtOSEBbHI0KeS_BysEbB6gipGNmeKfMTI
High,James Chapman,Founder Business Led Agile,Hilti Group,Software Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAtascYBBbgdsU_L5SSBBB-G5gBgwmSRdN0
High,Fawad Bhatti,Founder & Fractional AI Lead ELL Advisory,Hilti Group,Software Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAnC5uQBf3RUprrLshGyHJbNogkbFiMICyE
High,Anthony Sneed,Chief Technology Architect Hilti Group,Hilti Group,Software Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAABB87kBl2IwjReRFc26eRawQ9NBd7YVn-k
High,"Luca De Benedetto, MBA, PhD",Vice President of Technology and PMO ► Global BU Leadership Team Member ► CTO Hilti Group,Hilti Group,Software Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAAr7pABNp0PlCaxdaL5ru5YRVnCL3GLyDs
High,Luiz de Oliveira,Chief Product Owner -  IT Strategic Projects Hilti Group,Hilti Group,Software Sales Account Manager,Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAACy84BID_xeCbUM8AOvA9pgkT73uo8H5s
High,Darrin Ray,Purchasing Coordinator Ford Audio-Video,Ford Audio-Video Systems,"Outside Sales Account Manager - Honolulu, HI",Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAABMh2IIBlniq1loTLJGY_GCKyjpEuUyLPPM
High,Ryan Boardman,Purchasing Coordinator Ford Audio-Video,Ford Audio-Video Systems,"Outside Sales Account Manager - Honolulu, HI",Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAAAYjStkBtkqNqzd59suSY1RKuqJ7bZuGPG4
High,Carter Ottley,Marketing Coordinator Ford Audio-Video,Ford Audio-Video Systems,"Outside Sales Account Manager - Honolulu, HI",Glassdoor,"https://www.glassdoor.com/Job/Account-Executive-jobs-SRCH_KO0,17.htm?locT=N&locId=1",https://www.linkedin.com/sales/lead/ACwAADONdNYBcTtGpi_Mlpqdmn08vY4BXG7beY0
