Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
"High","Raphael Rodier","Chief Revenue Officer Ogury","Ogury","Regional Go-To-Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382405250","https://www.linkedin.com/sales/lead/ACwAAAFHS2ABzCNX5fo6Y9oSG_QBd7PLmUvYnyc"
"High","Patrick K.","AI-forward operations and enablement leader with a career-long record of scaling organizations, exceeding performance targets, and building governed systems that balance speed, accuracy, and human judgment. Proven track record designing and implementing AI-augmented enablement and quality frameworks, including AI governance, scorecards, and human-in-the-loop validation models that increase productivity without sacrificing trust or compliance. Highly regarded for translating emerging technologies into durable, real-world business capability—aligning AI adoption with operational goals, risk management, and organizational readiness. Thrive in fast-paced, cross-functional environments requiring clear decision-making, systems thinking, and accountability.· Award-winning leader with a 61% promotion rate for team members.

· Designed and implemented an AI-native enablement ecosystem integrating generative AI into quality, training, and operational workflows while maintaining human oversight and accuracy standards.
· Established AI governance frameworks, including scorecards, review thresholds, and escalation paths to mitigate hallucinations, misuse, and compliance risk.
· Achieved and sustained 94%+ quality compliance nationwide while deploying AI-augmented evaluation and reporting systems.
· Led enablement and operational strategy through a 300% company growth cycle, balancing automation with scalable human judgment.
· Directed cross-functional adoption of AI across sales, enablement, and operations—aligning deployment with business outcomes rather than novelty.
· Drove a 61% promotion rate for subordinates by building systems that emphasized clarity, accountability, and measurable performance improvement.

Colleagues describe me as a results-driven, adaptable, and people-focused leader who thrives in fast-paced, high-growth environments. I'm passionate about connecting with like-minded professionals to share insights and drive AI innovation.

Feel free to reach out to connect and discuss opportunities. brightwheel","brightwheel","Go-to-Market Finance & Strategy Senior Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4376464233","https://www.linkedin.com/sales/lead/ACwAACH19HkB7iJBKl6qxxNDKINpxpo14rjb4Hs"
"High","Anita Rao Kapur","The gap between insights and action is wider than most organizations admit. I've spent my career bridging it — building growth strategy and analytics functions across APAC that don't just produce intelligence, but shape what businesses do next.Across senior leadership roles, I've owned P&amp;Ls, led large-scale business transformations, designed market entry strategies that unlocked significant global opportunities, and built analytics platforms used by thousands of stakeholders across regions.My approach to insight and strategy has always been automation-first. I've spent my career building systems that do the repeatable work at scale, so teams can focus on the decisions that matter - from early NLP prototypes adopted globally, to building self-serve platforms at scale, to deepening my AI strategy foundation at leading institutions. Outside my corporate work, I led the Singapore chapter of Women in Research (WIRe) and served on their global advisory board — the conversation around women in analytics and insights leadership still needs having, and I've been glad to be part of it. Airbnb","Airbnb","Senior Business Development Manager, Southeast & Mid-Atlantic","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388113144","https://www.linkedin.com/sales/lead/ACwAAACEZmUBwfCUtwiCbmvQVSBGtUranZJdK5M"
"High","Marc Simon Mandel","AVP Digital Marketing CRO Axos Bank","Axos Bank","AVP, Go-To-Market Operations Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4317227811","https://www.linkedin.com/sales/lead/ACwAAADpntMB3ZHL3rr_6gSQrFFUryKLeVYuSdw"
"High","Carlos Alberto Elias Rabling","Chief Revenue Officer (CRO) Birdman","Birdman","Head of Brand Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388590394","https://www.linkedin.com/sales/lead/ACwAABQqLIcBao4cUbL_CU-Lknq9L3CgsH3TG1A"
"High","Nathan Roehrig","Licensed school psychologist with experience at the intersection of clinical expertise, AI, research, and product development. My background spans school psychology, behavioral health innovation, program evaluation, and AI-enabled content and quality work.

I specialize in translating complex psychological and developmental concepts into practical, human-centered tools for clinicians, educators, caregivers, and families. My work has included prompt development and evaluation, assessment-informed content design, cross-functional collaboration, and the creation of scalable solutions grounded in clinical reasoning and real-world usability.

I care deeply about improving quality, clarity, and access in clinical and educational settings through the thoughtful integration of AI and evidence-based practice. Frontera","Frontera","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4803fc904f70c9","https://www.linkedin.com/sales/lead/ACwAAFgm_HoBJYchX0kCarVftDUI_lRraYFtsso"
"High","Dani Romain","Chief Revenue Officer (CRO) ChowNow","ChowNow","Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=9d03bb42a5515313","https://www.linkedin.com/sales/lead/ACwAAASjXO4Bl1vsR3lrmQtNFTSfpp6ZMIYmGUQ"
"High","Christian Cammarota","I specialize in lifecycle and retention marketing strategies that strengthen customer relationships and drive measurable growth across B2B, B2C, and B2B2C segments.At ChowNow, I led and optimized high-impact lifecycle programs — including subscription campaigns supporting 4,200+ restaurant partners and contributing to $40M+ in annual gross food sales. I also helped build net-new B2B2C initiatives designed to strengthen diner loyalty and increase reorder volume. My experience spans marketing automation, CRM strategy, and advanced segmentation across platforms like Iterable, Marketo, and Salesforce.I thrive in cross-functional environments, partnering closely with Customer Success, Sales, Onboarding, and Product teams to align marketing initiatives with business objectives. Whether analyzing performance data, running A/B tests, or scaling automation programs, my focus is always on building data-driven journeys that increase retention, feature adoption, and customer satisfaction.Lifecycle marketing is more than a communication channel to me — it’s a growth engine. I’m passionate about designing systems that deepen customer relationships, maximize engagement, and drive long-term revenue impact.Currently exploring lifecycle marketing and CRM strategy opportunities where I can help brands scale retention, engagement, and long-term customer value. ChowNow","ChowNow","Revenue Operations Manager","Indeed","https://www.indeed.com/viewjob?jk=9d03bb42a5515313","https://www.linkedin.com/sales/lead/ACwAABLHU8EB9DhtR5dcQFpz5LrhtWuiEAUogJo"
"High","Robert Hoblit","Chief Revenue Officer NMI","NMI","Revenue Operations Manager, Business Applications","Indeed","https://www.indeed.com/viewjob?jk=9867507404ea84f6","https://www.linkedin.com/sales/lead/ACwAAAAJOR0BGmz0UgM_jpPqeDcLWU5Z-p5n1Ck"
"High","Marie Lee","Chief Marketing Officer Princess Cruises","Princess Cruises","Senior Manager, eCommerce Product - Search","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4333171006","https://www.linkedin.com/sales/lead/ACwAAAD8es4BufWtI5x28t7kEAI9Bd1fKTcgtbU"
"High","Zack Anderson","Chief Marketing Officer Luminize Marketing","Luminize","Senior Content Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4377014773","https://www.linkedin.com/sales/lead/ACwAADDH-doBQq4JgmSe1YbIaEXog3qCbYhJZ6Q"
"High","Michael Klozotsky","Chief Marketing Officer IMO Health","IMO Health","Go-To-Market (GTM) Program Manager - Provider Solutions","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4354855202","https://www.linkedin.com/sales/lead/ACwAAAGcDMQBkrB-SwIIc8AylmEElApZzi1XiKM"
"High","Kate Cronin","Chief Marketing Officer MiniMed","Medtronic","Senior Market Development Manager - US Downstream, Hernia","Indeed","https://www.indeed.com/viewjob?jk=2450cf30c6fb575f","https://www.linkedin.com/sales/lead/ACwAAAA1TRsBdruHvOTky4wFhfqiQWvAg_L0vRA"
"High","Peter Galvin","Chief Marketing Officer NMI","NMI","Revenue Operations Manager, Business Applications","Indeed","https://www.indeed.com/viewjob?jk=9867507404ea84f6","https://www.linkedin.com/sales/lead/ACwAAAABfmMB9yH5CD0S-548h7dpi7AUCx-UTIM"
"High","Jonathan Beamer","Chief Marketing Officer Mindr","Mindr","Senior Manager Keepr Sales-Remote","Glassdoor","https://www.glassdoor.com/Job/Go-To-Market-Manager-jobs-SRCH_KO0,20.htm?locT=N&locId=1","https://www.linkedin.com/sales/lead/ACwAAAAZxjAB_EXRDmIiBuVgTlO0ZVLMgzs8i6s"
"High","KOYA OBA","COO LaCrosse Footwear Incorporated","LaCrosse Footwear Incorporated","Sr. Manager Community & Creator Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389912990","https://www.linkedin.com/sales/lead/ACwAAAaSvV8B9OEZ8NORAGxNRtBCqLvazz3Q-dU"
"High","Melissa Desir-Eliacin","Lead Instructor Stepful","Stepful","Go-To-Market Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4334172608","https://www.linkedin.com/sales/lead/ACwAAA1tzMwB7sHR9aodPOYJWqfQjqUsIfcxY-w"
"High","John Moran","Executive Vice President and CFO USAble Life","USAble Life","Go-To-Market Manager - Remote","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381485697","https://www.linkedin.com/sales/lead/ACwAAAoF4JIB2PvzvN--Gn8Np8YkT84Omp5bs2U"
"High","Ron Williams","SVP Underwriting & Actuarial and Chief Underwriting Officer USAble Life","USAble Life","Go-To-Market Manager - Remote","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381485697","https://www.linkedin.com/sales/lead/ACwAAAKPW6EBLR4hle1xpJDbsMC2Emep2ukUOTI"
"High","LaToya Bennett SPHR, SHRM-SCP","HR Business Partner, Director USAble Life","USAble Life","Go-To-Market Manager - Remote","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381485697","https://www.linkedin.com/sales/lead/ACwAABGVKRsBmDgCHD8ZWAwzjw10vUaZIXWdC18"
"High","Dr. Monte Hessler","Chiropractor Phoenix Suns","PGA TOUR","Associate Product Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385092628","https://www.linkedin.com/sales/lead/ACwAAAEFGc4BtPeW9ZY6Y_0YoRVlxWaHKYJUZGI"
"High","Dave Mack","Vice President & Executive Director PGA TOUR","PGA TOUR","Associate Product Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385092628","https://www.linkedin.com/sales/lead/ACwAAAQLS84BnlMNzBh2TIYDG8FGni9-7SVdZsI"
"High","Devon F.","Senior Director Program Management PGA TOUR","PGA TOUR","Associate Product Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385092628","https://www.linkedin.com/sales/lead/ACwAAACebiIBY1PbVdHOeTufTq0MUSV4KVMLTsg"
"High","Gerardo Garmendia","Management Consultant, Strategic Sourcing (Contractor) Worldpay","Worldpay","Go-To-Market Commercial Operations Manager (payments experience required)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4370831594","https://www.linkedin.com/sales/lead/ACwAAADCH6wBot1SFrtgt63ShY8yLBA0kzZZMms"
"High","Steven Myles","Corporate Sales Director - Regional Worldpay","Worldpay","Go-To-Market Commercial Operations Manager (payments experience required)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4370831594","https://www.linkedin.com/sales/lead/ACwAAAfpMeQBs5NFqItUs_9iMIXG_yS6yWbr50A"
"High","Derek Stolpa","Senior Director, Strategic Sourcing and Planning  Worldpay","Worldpay","Go-To-Market Commercial Operations Manager (payments experience required)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4370831594","https://www.linkedin.com/sales/lead/ACwAAAC6yLYBFGtcGoGJeOmUu_bumf3b8y5z3Is"
"High","Deap Chana","Regional Corporate Director at Worldpay  Worldpay","Worldpay","Go-To-Market Commercial Operations Manager (payments experience required)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4370831594","https://www.linkedin.com/sales/lead/ACwAACFe8IQBQVqdA6F7nP5egS3YaVSVo_AK7yE"
"High","Ewan Caird","Corporate Sales Director UK & Europe Worldpay","Worldpay","Go-To-Market Commercial Operations Manager (payments experience required)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4370831594","https://www.linkedin.com/sales/lead/ACwAABquGUoB-gDM45aeTiq-qXapOYFmNOOatHw"
"High","Will Robinson","Chief Technology Officer Plaid","Plaid","Sales Operations Associate, GTM Strategy & Operations","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4378648618","https://www.linkedin.com/sales/lead/ACwAAACxBIYBdqdEd1bn0YocEZLFN0mLVWEpDhE"
"High","Eric Sager","COO Plaid","Plaid","Sales Operations Associate, GTM Strategy & Operations","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4378648618","https://www.linkedin.com/sales/lead/ACwAAAE1LZ4Bb9DAdcTtKEa4-RKD5u1d3bovoUU"
"High","Shifra Ansonoff","Managing Director BlackRock","BlackRock","Account Executive, Preqin, Vice President","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4292032471","https://www.linkedin.com/sales/lead/ACwAAAE673gBMTkC24nEjzmWDlHmzz8M_rnAs7U"
"High","Lou Rosato","Managing Director BlackRock","BlackRock","Account Executive, Preqin, Vice President","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4292032471","https://www.linkedin.com/sales/lead/ACwAAAUgHLYBS9W9IaZPY0y0JMoBOAcETtf6jCs"
"High","Anna Ashurov","Managing Director BlackRock","BlackRock","Account Executive, Preqin, Vice President","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4292032471","https://www.linkedin.com/sales/lead/ACwAAAGFfnEBJiBsY7JcP5exXUiqKrFBSY6j4IE"
"High","Zeshan Azam","Managing Director BlackRock","BlackRock","Account Executive, Preqin, Vice President","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4292032471","https://www.linkedin.com/sales/lead/ACwAAAB99RIBz1r_whZHiLxffk9Yhk0Zl9JVMPg"
"High","Ultan Geraghty","Managing Director BlackRock","BlackRock","Account Executive, Preqin, Vice President","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4292032471","https://www.linkedin.com/sales/lead/ACwAAAKsN_oB1d2AmPTBKox5hJN8X2WYtbV6zPQ"
"High","Jade Tully","Contractor- Digital  Shimano North America Holding, Inc.","Shimano North America Holding, Inc.","Go-To-Market Manager - Fish","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387529315","https://www.linkedin.com/sales/lead/ACwAAAFBOksBlmrWpRpDnPqkf1CWxQs6Q2hViGI"
"High","Emil Loreto","Information Technology Contractor Shimano American Corp.","Shimano North America Holding, Inc.","Go-To-Market Manager - Fish","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387529315","https://www.linkedin.com/sales/lead/ACwAAABjVQYBChakJrbkwtE6Cbr0g76Ort5ugps"
"High","Frank Ballegeer","SVP Strategic Planning & Chief People Officer (Interim) Ogury","Ogury","Regional Go-To-Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382405250","https://www.linkedin.com/sales/lead/ACwAAAiKaeIBBk94Ps_JFlobvc6DDY3yr6ZNtmA"
"High","Nicolette Alcenat","Director, People Business Partner Ogury","Ogury","Regional Go-To-Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382405250","https://www.linkedin.com/sales/lead/ACwAAASVTSEBCjXNEBh9rtYNrolr7VSJiXvFVhs"
"High","Pooja Bajpai","Managing Director JPMorganChase","JPMorganChase","Branch Operations Lead - SE Wisconsin and Northern IL Market - Kenosha, WI","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384757247","https://www.linkedin.com/sales/lead/ACwAABmHuRoBXN9Cdoz2oyrhHWge7uOnlwmezg8"
"High","Fabien Legland, CFA","Executive Director JPMorgan Chase & Co.","JPMorganChase","Branch Operations Lead - SE Wisconsin and Northern IL Market - Kenosha, WI","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384757247","https://www.linkedin.com/sales/lead/ACwAAAA-WSwBihUmTPZroWoSv7u7QHgIOyOc-u0"
"High","Li Wang","HR Business Advisor Lead for Global Technology & Chief Data Analytics Office(Executive Director) JPMorganChase","JPMorganChase","Branch Operations Lead - SE Wisconsin and Northern IL Market - Kenosha, WI","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384757247","https://www.linkedin.com/sales/lead/ACwAADF0qRsBUmw-RYQUI9ILz7qrVRP6x_6ZKKo"
"High","Mahmood Hanif","Managing Director JPMorgan Chase & Co.","JPMorganChase","Branch Operations Lead - SE Wisconsin and Northern IL Market - Kenosha, WI","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384757247","https://www.linkedin.com/sales/lead/ACwAAACtDBAB8E1SLa52IzjYZu8Nt2ZvNtSlzlY"
"High","Rajesh Iyer","Executive Director, Principal Engineer @ Card Technology JPMorganChase","JPMorganChase","Branch Operations Lead - SE Wisconsin and Northern IL Market - Kenosha, WI","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384757247","https://www.linkedin.com/sales/lead/ACwAAAB-1sEB3mHr8I20pJ87PwI7tQnG6Gdf1SA"
"High","Eduardo Gerbi","Desktop Support Team Lead, Senior Analyst and Project Coordinator Princess Cruises","Princess Cruises","Senior Manager, eCommerce Product - Search","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4333171006","https://www.linkedin.com/sales/lead/ACwAABUAgKoBmXQl4WfPNuxCEZCSclW5JuwugIA"
"High","Paola Perez","Logistic Coordinator Princess Cruises","Princess Cruises","Senior Manager, eCommerce Product - Search","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4333171006","https://www.linkedin.com/sales/lead/ACwAAAZJtasB7E3-Z5_6KASM2MAwb8LxNDrdbgw"
"High","Piero Susino","Fleet Technical Operations Director/Senior Director Princess Cruises","Princess Cruises","Senior Manager, eCommerce Product - Search","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4333171006","https://www.linkedin.com/sales/lead/ACwAAAGQva8BkX_XuF2mNtwwcIJXCsgpdoOagUM"
"High","Josh Baran","Chief Brand Officer Luminize","Luminize","Senior Content Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4377014773","https://www.linkedin.com/sales/lead/ACwAAAF5t7ABQsSxfPbL4c6pzdYE87LH5_RHZWs"
"High","Bennett Comendul","Chief Analytics Officer LUMINIZE MARKETING","Luminize","Senior Content Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4377014773","https://www.linkedin.com/sales/lead/ACwAADHJ_2EBrugAWwqpcjv1hnw-yaws93CZ2xg"
"High","Carol Danoff","Chief Procurement Officer Warner Bros. Discovery","Warner Bros. Discovery","Sr. Manager, Revenue Marketing, Sports Activation","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389935584","https://www.linkedin.com/sales/lead/ACwAAAAJUe0BgoA5hD0YaoVWYxQdEN-jnUF8z7E"
"High","Avi Saxena","CTO Warner Bros. Discovery","Warner Bros. Discovery","Sr. Manager, Revenue Marketing, Sports Activation","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389935584","https://www.linkedin.com/sales/lead/ACwAAAA4KbQBMTPSqsnsYstSna_FHFAICtdAnHE"
"High","Simoina Vasen","Chief Operating Officer brightwheel","brightwheel","Go-to-Market Finance & Strategy Senior Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4376464233","https://www.linkedin.com/sales/lead/ACwAAACRfF0BrN0sYJxFL3SHf0XCNqzTcaBtZYw"
"High","Waqas Ahmed","Chief Technology Officer brightwheel","brightwheel","Go-to-Market Finance & Strategy Senior Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4376464233","https://www.linkedin.com/sales/lead/ACwAAAAP-p8BMMK3twEVYv6SzM-o5mZIG_y8DW0"
"High","Josh Gartland","CFO brightwheel","brightwheel","Go-to-Market Finance & Strategy Senior Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4376464233","https://www.linkedin.com/sales/lead/ACwAAACswcIBIwG9mtuktQqfS1Bw6Aw-njMsIHE"
"High","Brian Li","Director, E-Commerce Systems Theory","Theory","Go To Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381162798","https://www.linkedin.com/sales/lead/ACwAAAYsrukBM0XjnCRl04MgoX1mh4LkJ09JGH8"
"High","Brent Landquist","CFO Theory","Theory","Go To Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381162798","https://www.linkedin.com/sales/lead/ACwAAAxshK4BpIVCHD_Q5jKB8lOujkveBcB_NdU"
"High","Christoph Gorder","Executive Director Airbnb","Airbnb","Senior Business Development Manager, Southeast & Mid-Atlantic","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388113144","https://www.linkedin.com/sales/lead/ACwAAAAWM9gBMKaM7aNJIXOxna3aJhPwEGCX8oo"
"High","Francisco Ernesto Préstamo Gil","Rector Universidad Hispanoamericana (CR)","Airbnb","Senior Business Development Manager, Southeast & Mid-Atlantic","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388113144","https://www.linkedin.com/sales/lead/ACwAABPB5l8BsA-Lijh1rEHxxLPkziKm7TeOzrA"
"High","Raymond Matsumoto","Executive Vice President - Chief Operating Officer Axos Bank","Axos Bank","AVP, Go-To-Market Operations Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4317227811","https://www.linkedin.com/sales/lead/ACwAAAGlj64BpfcnbmYF2nBf3hCVCPgd7wbxhJU"
"High","Raghu Valipireddy","SVP, Chief Information Security Officer Axos Financial","Axos Bank","AVP, Go-To-Market Operations Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4317227811","https://www.linkedin.com/sales/lead/ACwAAACUrCkBCp7TFo88iT-YuzaARACkQaufzEY"
"High","Tracy Gallman","Chief Investment Officer Axos Invest Inc; Managing Principal, Axos Invest LLC Axos Invest","Axos Bank","AVP, Go-To-Market Operations Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4317227811","https://www.linkedin.com/sales/lead/ACwAAAPElm0Bq0cB-QeXdLOwB78Maii1Xvll9kg"
"High","Kevin Conroy","Executive Search Director and Recruitment Lead LexisNexis","LexisNexis","Go-to-Market Manager (Legal Technology)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387314891","https://www.linkedin.com/sales/lead/ACwAAAAm9MIBn5X8az4SWialSiF-7BB0EgWRCZU"
"High","Greg Dickason","CTO and EVP LexisNexis","LexisNexis","Go-to-Market Manager (Legal Technology)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387314891","https://www.linkedin.com/sales/lead/ACwAAAAi0YcBgADVfIo3IEAQJ5b1FzMya05SU-Y"
"High","Pascal Rosier","Managing Director 代表取締役社長 LexisNexis","LexisNexis","Go-to-Market Manager (Legal Technology)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387314891","https://www.linkedin.com/sales/lead/ACwAAAB73mkB75yArb4pvLmswvVSo-dQSSDPxBo"
"High","Kanika Saraiya Havelia","Senior Director, Finance & AI PayPal","PayPal","Global & Strategic Portfolio Account Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385700663","https://www.linkedin.com/sales/lead/ACwAAAEoNfsBBRmSjKaHwCSeagzLZZyzNA0fx1U"
"High","Robin A.","Privacy & AI Governance - CTO Org PayPal","PayPal","Global & Strategic Portfolio Account Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385700663","https://www.linkedin.com/sales/lead/ACwAAABA-G4BIxDzNyavcCHX4buBSMZ7QzFrvJA"
"High","Deepa Vijayaraghavan","Director Technology Business Operations PayPal","PayPal","Global & Strategic Portfolio Account Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385700663","https://www.linkedin.com/sales/lead/ACwAAAOS7joBWMxKDa2eJcyAxfkQ2OmP0YshfHQ"
"High","Shaun Khalfan","SVP, Chief Information Security Officer PayPal","PayPal","Global & Strategic Portfolio Account Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385700663","https://www.linkedin.com/sales/lead/ACwAAAH3JpUBJDhYAeo4wGyvuXvqwIX4B8Hjxk4"
"High","Mark Craig Itskowitch","Adobe Certified Instructor | Adobe Certified Professional | Adobe Community Expert Adobe","Adobe","Go-to-Market (GTM) Manager - Corporate B2B, Business Professional","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4359827481","https://www.linkedin.com/sales/lead/ACwAAAAT1M0ByzXnU0kXFc8PvRZOGTmHqWydYso"
"High","Jack Lynch","Chief Strategy Officer Ridgeline","Ridgeline","Go-To-Market Field Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382532191","https://www.linkedin.com/sales/lead/ACwAAAJFc10BJO7G45tROUqEZpAB3ZCf9OlEbCc"
"High","Mike Barrameda","Chief Technology Architect Ridgeline","Ridgeline","Go-To-Market Field Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382532191","https://www.linkedin.com/sales/lead/ACwAAATdpUQBid7wGfpc7v_f3OzSoNzQgt8yD7k"
"High","Jeremy H.","Chief Security Officer Ridgeline","Ridgeline","Go-To-Market Field Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382532191","https://www.linkedin.com/sales/lead/ACwAAAA5VOABG1x-b5xfkLhR3pX85HjB6hobsbo"
"High","Jon Ruggiero","Chief Technology Officer Ridgeline","Ridgeline","Go-To-Market Field Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382532191","https://www.linkedin.com/sales/lead/ACwAAAAVycEBQhefhLKvfo0WnbfB7beaMRLT5ks"
"High","Jeff Lattomus","Global AI Factory Sales Leader NVIDIA","NVIDIA","Go-To-Market Program Manager, Healthcare and Life Sciences","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385301116","https://www.linkedin.com/sales/lead/ACwAAAASAisBEX8iMkuDvVq8YL6pPv5cJc9cFrg"
"High","Gulroz Singh","Sr. Semiconductor Safety Architect NVIDIA","NVIDIA","Go-To-Market Program Manager, Healthcare and Life Sciences","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385301116","https://www.linkedin.com/sales/lead/ACwAABv54psBmUoPvxjtO9thsp_lIkoPZTYKEmw"
"High","Ivana Naeymi-Rad","Chief Product Officer IMO Health","IMO Health","Go-To-Market (GTM) Program Manager - Provider Solutions","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4354855202","https://www.linkedin.com/sales/lead/ACwAAADG4wkBVJIbRWOT1wFvft5xh63EM7QYCCY"
"High","Chuck Levecke","Chief Technology Officer IMO Health","IMO Health","Go-To-Market (GTM) Program Manager - Provider Solutions","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4354855202","https://www.linkedin.com/sales/lead/ACwAAABC1e4BEVlEaDGjGIS28Qlq0gceUUR5SE4"
"High","Megan Broom","Senior Director, Product Sales IMO Health","IMO Health","Go-To-Market (GTM) Program Manager - Provider Solutions","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4354855202","https://www.linkedin.com/sales/lead/ACwAAAsPSJkBiMbkF2XfXFzMZCatUva06yThLUA"
"High","Eric Sniff","Chief Technology Officer Visiting Media","Visiting Media","Go-to-Market (GTM) Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387974994","https://www.linkedin.com/sales/lead/ACwAAAJu-NEBnLEghCx2pplB8CLXkqiRnQPKeSU"
"High","Chad Kimner","Chief Operating Officer Visiting Media","Visiting Media","Go-to-Market (GTM) Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387974994","https://www.linkedin.com/sales/lead/ACwAAAAWPs8BaiZc_OjJRfRqX2OaNpb3LtRCxzs"
"High","Tom Cutsforth","Chief Financial Officer Visiting Media","Visiting Media","Go-to-Market (GTM) Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387974994","https://www.linkedin.com/sales/lead/ACwAAABlCMAB0d03-SHMg7Eg28RcMVeUZbSM6H0"
"High","April Voris","Fitness Instructor The Beachbody Company","The Beachbody Company","Manager, Retail Sales","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384639250","https://www.linkedin.com/sales/lead/ACwAAAFSvBgB93SKnPBOu0KlPdatT1LlDLbUzW4"
"High","Kit Boyd","Chief Supply Chain Officer Beachbody","The Beachbody Company","Manager, Retail Sales","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384639250","https://www.linkedin.com/sales/lead/ACwAABLZ7EUBXqDiuwFFyfkx50OeZZsGq5RfVVI"
"High","Brad Ramberg","Chief Financial Officer Beachbody","The Beachbody Company","Manager, Retail Sales","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4384639250","https://www.linkedin.com/sales/lead/ACwAAAD7OrYBOBniiCG-8KJTxdwaMrIlXa-d_qw"
